"handle","title","issue","sizes","price","suggested_fix","review_status"
"epmd-strictly-business-hoodie-1","EPMD Strictly Business hoodie","Price differs by more than 20% from the adult hoodie median of $60.00","S | M | L | XL","30.00","Review the price against the typical adult hoodie price of $60.00 and confirm whether the difference is intentional.",""
"gettin-up-oneise","Gettin up oneise","Adult-title product contains toddler or infant sizes","3-6m | 6-12m | 12-18m | 18-24m","30.00","Verify the age group and correct either the title or the size variants.",""
"give-it-to-me-baby-hoodie","Give It To Me Baby hoodie","Title indicates baby, but size options look adult","S | M | L | XL | 2XL","60.00","No change — “baby” is part of the design/title phrase, not the garment age classification.","FALSE_POSITIVE"
"give-it-to-me-baby-shirt","Give It To Me Baby shirt","Title indicates baby, but size options look adult","S | M | L | XL | 2XL","36.00","No change — “baby” is part of the design/title phrase, not the garment age classification.","FALSE_POSITIVE"
"hard-knock-life-youth-hoodie","Hard Knock Life youth hoodie","Price differs by more than 20% from the youth hoodie median of $54.00","S | M | L | XL","42.00","Review the price against the typical youth hoodie price of $54.00 and confirm whether the difference is intentional.",""
"i-cant-live-w-o-my-radio-youth-hoodie-1","I Cant Live w/o My Radio youth hoodie","Hoodie price is closer to the youth shirt median ($30.00) than the hoodie median ($54.00)","2T | 3T | 4T | 5T","30.00","Confirm the garment type; if this is a hoodie, correct the price, otherwise correct the title/product type.",""
"i-cant-live-w-o-my-radio-youth-hoodie-1","I Cant Live w/o My Radio youth hoodie","Price differs by more than 20% from the youth hoodie median of $54.00","2T | 3T | 4T | 5T","30.00","Review the price against the typical youth hoodie price of $54.00 and confirm whether the difference is intentional.",""
"little-mike-shirt-1","Little Mike shirt","Price differs by more than 20% from the adult shirt median of $36.00","S | M | L | XL | 2XL","60.00","Review the price against the typical adult shirt price of $36.00 and confirm whether the difference is intentional.",""
"little-mike-shirt-1","Little Mike shirt","Shirt/tee price is closer to the adult hoodie median ($60.00) than the shirt median ($36.00)","S | M | L | XL | 2XL","60.00","Confirm the garment type; if this is a shirt, correct the price, otherwise correct the title/product type.",""
"lyrics-2-go-shirt-1","Lyrics 2 Go shirt","Price differs by more than 20% from the adult shirt median of $36.00","S | M | L | XL | 2XL","60.00","Review the price against the typical adult shirt price of $36.00 and confirm whether the difference is intentional.",""
"lyrics-2-go-shirt-1","Lyrics 2 Go shirt","Shirt/tee price is closer to the adult hoodie median ($60.00) than the shirt median ($36.00)","S | M | L | XL | 2XL","60.00","Confirm the garment type; if this is a shirt, correct the price, otherwise correct the title/product type.",""
"mahogany-soul-youth-hoodie","Mahogany Soul youth hoodie","Title indicates youth, but size options include extended adult sizes","S | M | L | XL | 2XL","54.00","Verify whether these are youth or adult variants; correct the title or remove/rebuild the mismatched size variants.",""
"me-and-u-yo-mama-n-yo-cuzin-2-oneise","Me and U Yo Mama N Yo Cuzin 2 oneise","Adult-title product contains toddler or infant sizes","3-6m | 6-12m | 12-18m | 18-24m","30.00","Verify the age group and correct either the title or the size variants.",""
"mic-checka-youth-shirt-1","Mic Checka youth shirt","Price differs by more than 20% from the youth shirt median of $30.00","S | M | L | XL","54.00","Review the price against the typical youth shirt price of $30.00 and confirm whether the difference is intentional.",""
"mic-checka-youth-shirt-1","Mic Checka youth shirt","Shirt/tee price is closer to the youth hoodie median ($54.00) than the shirt median ($30.00)","S | M | L | XL","54.00","Confirm the garment type; if this is a shirt, correct the price, otherwise correct the title/product type.",""
"motivation-asap-oneise","Motivation...ASAP oneise","Adult-title product contains toddler or infant sizes","3-6m | 6-12m | 12-18m | 18-24m","30.00","Verify the age group and correct either the title or the size variants.",""
"my-crew-cant-go-4-that-youth-shirt","My Crew Can't Go 4 That youth shirt","Price differs by more than 20% from the youth shirt median of $30.00","S | M | L | XL","54.00","Review the price against the typical youth shirt price of $30.00 and confirm whether the difference is intentional.",""
"my-crew-cant-go-4-that-youth-shirt","My Crew Can't Go 4 That youth shirt","Shirt/tee price is closer to the youth hoodie median ($54.00) than the shirt median ($30.00)","S | M | L | XL","54.00","Confirm the garment type; if this is a shirt, correct the price, otherwise correct the title/product type.",""
"my-hitta-my-hitta-onesie","My Hitta My Hitta onesie","Price differs by more than 20% from the baby onesie median of $30.00","3-6m | 6-12m | 12-18m | 18-24m","21.60","Review the price against the typical baby onesie price of $30.00 and confirm whether the difference is intentional.",""
"nothin-but-a-g-thang-baby-hoodie","Nothin But A G Thang Baby hoodie","Title indicates baby, but size options look adult","S | M | L | XL | 2XL","60.00","No change — “baby” is part of the design/title phrase, not the garment age classification.","FALSE_POSITIVE"
"nothin-but-a-g-thang-baby-shirt","Nothin But A G Thang Baby shirt","Title indicates baby, but size options look adult","S | M | L | XL | 2XL","36.00","No change — “baby” is part of the design/title phrase, not the garment age classification.","FALSE_POSITIVE"
"on-my-block-youth-shirt-1","On My Block youth shirt","Price differs by more than 20% from the youth shirt median of $30.00","S | M | L | XL","54.00","Review the price against the typical youth shirt price of $30.00 and confirm whether the difference is intentional.",""
"on-my-block-youth-shirt-1","On My Block youth shirt","Shirt/tee price is closer to the youth hoodie median ($54.00) than the shirt median ($30.00)","S | M | L | XL","54.00","Confirm the garment type; if this is a shirt, correct the price, otherwise correct the title/product type.",""
"shinin-star-youth-shirt-1","Shinin Star youth shirt","Price differs by more than 20% from the youth shirt median of $30.00","S | M | L | XL","54.00","Review the price against the typical youth shirt price of $30.00 and confirm whether the difference is intentional.",""
"shinin-star-youth-shirt-1","Shinin Star youth shirt","Shirt/tee price is closer to the youth hoodie median ($54.00) than the shirt median ($30.00)","S | M | L | XL","54.00","Confirm the garment type; if this is a shirt, correct the price, otherwise correct the title/product type.",""
"soul-survivor-youth-shirt-1","Soul Survivor youth shirt","Price differs by more than 20% from the youth shirt median of $30.00","S | M | L | XL | 2XL","60.00","Review the price against the typical youth shirt price of $30.00 and confirm whether the difference is intentional.",""
"soul-survivor-youth-shirt-1","Soul Survivor youth shirt","Shirt/tee price is closer to the youth hoodie median ($54.00) than the shirt median ($30.00)","S | M | L | XL | 2XL","60.00","Confirm the garment type; if this is a shirt, correct the price, otherwise correct the title/product type.",""
"soul-survivor-youth-shirt-1","Soul Survivor youth shirt","Title indicates youth, but size options include extended adult sizes","S | M | L | XL | 2XL","60.00","Verify whether these are youth or adult variants; correct the title or remove/rebuild the mismatched size variants.",""
"souls-of-mischief-youth-hoodie","Souls of Mischief youth hoodie","Title indicates youth, but size options include extended adult sizes","S | M | L | XL | 2XL","60.00","Verify whether these are youth or adult variants; correct the title or remove/rebuild the mismatched size variants.",""
"southern-hospitality-onesie","Southern Hospitality onesie","Price differs by more than 20% from the baby onesie median of $30.00","3-6m | 6-12m | 12-18m | 18-24m","21.60","Review the price against the typical baby onesie price of $30.00 and confirm whether the difference is intentional.",""
"stay-woke-toddler-shirt-1","Stay Woke toddler shirt","Price differs by more than 20% from the toddler shirt median of $30.00","S | M | L | XL","54.00","Review the price against the typical toddler shirt price of $30.00 and confirm whether the difference is intentional.",""
"stay-woke-toddler-shirt-1","Stay Woke toddler shirt","Title indicates toddler, but size options look adult","S | M | L | XL","54.00","Verify the product template and replace adult size variants with the intended toddler/baby size set, or correct the title.",""
"still-ghetto-toddler-shirt-1","Still Ghetto toddler shirt","Title indicates toddler, but size options look adult","S | M | L | XL | 2XL","36.00","Verify the product template and replace adult size variants with the intended toddler/baby size set, or correct the title.",""
"sugar-hill-baby-hoodie","Sugar Hill Baby hoodie","Title indicates baby, but size options look adult","S | M | L | XL | 2XL","60.00","No change — “baby” is part of the design/title phrase, not the garment age classification.","FALSE_POSITIVE"
"sugar-hill-baby-shirt","Sugar Hill Baby shirt","Title indicates baby, but size options look adult","S | M | L | XL | 2XL","36.00","No change — “baby” is part of the design/title phrase, not the garment age classification.","FALSE_POSITIVE"
"the-love-movement-youth-hoodie-1","The Love Movement youth hoodie","Hoodie price is closer to the youth shirt median ($30.00) than the hoodie median ($54.00)","S | M | L | XL","30.00","Confirm the garment type; if this is a hoodie, correct the price, otherwise correct the title/product type.",""
"the-love-movement-youth-hoodie-1","The Love Movement youth hoodie","Price differs by more than 20% from the youth hoodie median of $54.00","S | M | L | XL","30.00","Review the price against the typical youth hoodie price of $54.00 and confirm whether the difference is intentional.",""
"the-most-beautifulest","The Most Beautifulest","Adult-title product contains toddler or infant sizes","3-6m | 6-12m | 12-18m | 18-24m","30.00","Verify the age group and correct either the title or the size variants.",""
"the-most-beautifullest-94-hoodie-1","The Most Beautifullest 94 Hoodie","Hoodie price is closer to the adult shirt median ($36.00) than the hoodie median ($60.00)","S | M | L | XL | 2XL","36.00","Confirm the garment type; if this is a hoodie, correct the price, otherwise correct the title/product type.",""
"the-most-beautifullest-94-hoodie-1","The Most Beautifullest 94 Hoodie","Price differs by more than 20% from the adult hoodie median of $60.00","S | M | L | XL | 2XL","36.00","Review the price against the typical adult hoodie price of $60.00 and confirm whether the difference is intentional.",""
"the-next-movement-youth-shirt","The Next Movement youth shirt","Price differs by more than 20% from the youth shirt median of $30.00","S | M | L | XL | 2XL","60.00","Review the price against the typical youth shirt price of $30.00 and confirm whether the difference is intentional.",""
"the-next-movement-youth-shirt","The Next Movement youth shirt","Shirt/tee price is closer to the youth hoodie median ($54.00) than the shirt median ($30.00)","S | M | L | XL | 2XL","60.00","Confirm the garment type; if this is a shirt, correct the price, otherwise correct the title/product type.",""
"the-next-movement-youth-shirt","The Next Movement youth shirt","Title indicates youth, but size options include extended adult sizes","S | M | L | XL | 2XL","60.00","Verify whether these are youth or adult variants; correct the title or remove/rebuild the mismatched size variants.",""
"thug-life-2pac-toddler-shirt-1","Thug Life 2pac toddler shirt","Title indicates toddler, but size options look adult","S | M | L | XL","30.00","Verify the product template and replace adult size variants with the intended toddler/baby size set, or correct the title.",""
"u-bout-it-bout-it-fool-hoodie-1","U Bout it Bout it Fool hoodie","Hoodie price is closer to the adult shirt median ($36.00) than the hoodie median ($60.00)","S | M | L | XL","30.00","Confirm the garment type; if this is a hoodie, correct the price, otherwise correct the title/product type.",""
"u-bout-it-bout-it-fool-hoodie-1","U Bout it Bout it Fool hoodie","Price differs by more than 20% from the adult hoodie median of $60.00","S | M | L | XL","30.00","Review the price against the typical adult hoodie price of $60.00 and confirm whether the difference is intentional.",""
"u-n-i-t-y-youth-hoodie","U.N.I.T.Y. youth hoodie","Hoodie price is closer to the youth shirt median ($30.00) than the hoodie median ($54.00)","S | M | L | XL","32.40","Confirm the garment type; if this is a hoodie, correct the price, otherwise correct the title/product type.",""
"u-n-i-t-y-youth-hoodie","U.N.I.T.Y. youth hoodie","Price differs by more than 20% from the youth hoodie median of $54.00","S | M | L | XL","32.40","Review the price against the typical youth hoodie price of $54.00 and confirm whether the difference is intentional.",""
"underground-kingz-youth-shirt-1","Underground Kingz youth shirt","Price differs by more than 20% from the youth shirt median of $30.00","S | M | L | XL","54.00","Review the price against the typical youth shirt price of $30.00 and confirm whether the difference is intentional.",""
"underground-kingz-youth-shirt-1","Underground Kingz youth shirt","Shirt/tee price is closer to the youth hoodie median ($54.00) than the shirt median ($30.00)","S | M | L | XL","54.00","Confirm the garment type; if this is a shirt, correct the price, otherwise correct the title/product type.",""
"weve-only-just-begun-onesie","We've Only Just Begun onesie","Price differs by more than 20% from the baby onesie median of $30.00","3-6m | 6-12m | 12-18m | 18-24m","21.60","Review the price against the typical baby onesie price of $30.00 and confirm whether the difference is intentional.",""
